regiao,faixa_renda,grupo_consumo,inflacao_ponderada
RM de Recife (PE),Renda média alta,Educação,0.36050000000000004
RM de Recife (PE),Renda média alta,Habitação,0.59321
RM de Recife (PE),Renda média alta,Saúde e cuidados pessoais,0.30878999999999995
RM de Recife (PE),Renda média alta,Transportes,1.0258200000000002
RM de Recife (PE),Renda média alta,Vestuário,0.0348
RM de Recife (PE),Renda média baixa,Alimentação e bebidas,0.71504
RM de Recife (PE),Renda média baixa,Artigos de residência,-0.018799999999999997
RM de Recife (PE),Renda média baixa,Comunicação,0.03886
RM de Recife (PE),Renda média baixa,Despesas pessoais,0.1392
RM de Recife (PE),Renda média baixa,Educação,0.2369
RM de Recife (PE),Renda média baixa,Habitação,0.7231099999999999
RM de Recife (PE),Renda média baixa,Saúde e cuidados pessoais,0.2847
RM de Recife (PE),Renda média baixa,Transportes,0.84651
RM de Recife (PE),Renda média baixa,Vestuário,0.0435
RM de Salvador (BA),Renda alta,Alimentação e bebidas,0.59163
RM de Salvador (BA),Renda alta,Artigos de residência,-0.013340000000000001
RM de Salvador (BA),Renda alta,Comunicação,0.07175
RM de Salvador (BA),Renda alta,Despesas pessoais,0.53768
RM de Salvador (BA),Renda alta,Educação,0.52632
RM de Salvador (BA),Renda alta,Habitação,0.36406
RM de Salvador (BA),Renda alta,Saúde e cuidados pessoais,0.42827999999999994
RM de Salvador (BA),Renda alta,Transportes,0.25920000000000004
RM de Salvador (BA),Renda alta,Vestuário,0.058499999999999996
RM de Salvador (BA),Renda baixa,Alimentação e bebidas,1.12554
RM de Salvador (BA),Renda baixa,Artigos de residência,-0.01932
RM de Salvador (BA),Renda baixa,Comunicação,0.105
RM de Salvador (BA),Renda baixa,Despesas pessoais,0.2288
RM de Salvador (BA),Renda baixa,Educação,0.19608
RM de Salvador (BA),Renda baixa,Habitação,0.62792
RM de Salvador (BA),Renda baixa,Saúde e cuidados pessoais,0.45816
RM de Salvador (BA),Renda baixa,Transportes,0.18359999999999999
RM de Salvador (BA),Renda baixa,Vestuário,0.07350000000000001
RM de Salvador (BA),Renda muito baixa,Alimentação e bebidas,1.24098
RM de Salvador (BA),Renda muito baixa,Artigos de residência,-0.02346
RM de Salvador (BA),Renda muito baixa,Comunicação,0.10325000000000001
RM de Salvador (BA),Renda muito baixa,Despesas pessoais,0.2002
RM de Salvador (BA),Renda muito baixa,Educação,0.21156
RM de Salvador (BA),Renda muito baixa,Habitação,0.67802
RM de Salvador (BA),Renda muito baixa,Saúde e cuidados pessoais,0.4482
RM de Salvador (BA),Renda muito baixa,Transportes,0.14148
RM de Salvador (BA),Renda muito baixa,Vestuário,0.0765
RM de Salvador (BA),Renda média,Alimentação e bebidas,0.88023
